id_factura,id_cliente,periodo,id_plan,monto,fecha_vencimiento,fecha_pago,medio_pago
F594463,C3354,2026-06,P02,47063.77,2026-07-10,10/07/2026,Efectivo / Sucursal
F581083,C2183,2026-03,P05,109660.23,2026-04-10,2026-04-10,Débito automático
F545030,C4089,2025-06,P05,88280.18,2025-07-10,2025-07-10,Transferencia
F567580,C1157,2025-12,P02,43512.14,2026-01-10,2026-01-10,Débito automático
F564168,C2072,2025-11,P02,38523.03,2025-12-10,2025-12-10,Débito automático
F505212,C1975,2024-09,P06,94446.76,2024-10-10,10/10/2024,Débito automático
F595049,C4110,2026-06,P03,64840.51,2026-07-10,2026-07-17,Débito automático
F534438,C1547,2025-04,P01,27026.83,2025-05-10,15/05/2025,Tarjeta
F527345,C2993,2025-02,P01,24758.05,2025-03-10,2025-03-10,Mercado Pago
F598729,C3580,2026-07,P04,89636.33,2026-08-10,2026-08-11,Transferencia
F556186,C2539,2025-09,P02,39542.9,2025-10-10,2025-10-10,Débito automático
F550736,C1114,2025-08,P02,38986.48,2025-09-10,2025-09-10,Débito automático
F504185,C5185,2024-08,P03,42668.37,2024-09-10,2024-09-10,Transferencia
F540445,C3570,2025-05,P02,34928.5,2025-06-10,11/06/2025,Transferencia
F501231,C2231,2024-08,P01,22885.19,2024-09-10,2024-09-11,Mercado Pago
F525914,C1475,2025-02,P02,32626.23,2025-03-10,2025-03-10,Efectivo / Sucursal
F505620,C2388,2024-09,P03,42316.43,2024-10-10,2024-10-10,Efectivo / Sucursal
F554421,C5314,2025-08,P02,39211.36,2025-09-10,,
F569007,C2808,2025-12,P06,131466.25,2026-01-10,15/01/2026,Débito automático
F573728,C3408,2026-01,P03,58029.03,2026-02-10,2026-02-10,Transferencia
F590204,C3165,2026-05,P03,63054.14,2026-06-10,,
F536222,C3499,2025-04,P02,35146.11,2025-05-10,10/05/2025,Débito automático
F515863,C4227,2024-11,P05,76829.4,2024-12-10,2024-12-10,Tarjeta
F525611,C1151,2025-02,P02,33208.18,2025-03-10,10/03/2025,Débito automático
F560237,C2379,2025-10,P01,28311.03,2025-11-10,2025-11-20,Mercado Pago
F520183,C4339,2024-12,P03,46404.96,2025-01-10,,
F520493,C4658,2024-12,P04,65003.66,2025-01-10,2025-01-10,Débito automático
F507165,C3949,2024-09,P02,29188.75,2024-10-10,2024-10-10,Transferencia
F536811,C4164,2025-04,P04,70158.72,2025-05-10,,
F598415,C3169,2026-07,P02,45951.94,2026-08-10,2026-08-10,Débito automático
F532109,C3583,2025-03,P05,82788.06,2025-04-10,,
F580921,C1978,2026-03,P02,41598.39,2026-04-10,,
F531647,C3082,2025-03,P05,83883.62,2025-04-10,2025-04-10,Débito automático
F593191,C1754,2026-06,P06,148430.97,2026-07-10,2026-07-20,Débito automático
F540854,C4044,2025-05,P03,48869.46,2025-06-10,,
F559292,C1296,2025-10,P02,38842.22,2025-11-10,2025-11-10,Mercado Pago
F565158,C3216,2025-11,P02,39318.98,2025-12-10,,
F514738,C3063,2024-11,P02,30390.16,2024-12-10,,
F581536,C2729,2026-03,P04,80776.62,2026-04-10,25/04/2026,Transferencia
F572031,C1411,2026-01,P04,82328.6,2026-02-10,2026-02-10,Mercado Pago
F554148,C4992,2025-08,P02,40599.45,2025-09-10,2025-09-10,Débito automático
