id_ticket,id_cliente,fecha_apertura,fecha_cierre,categoria,canal,prioridad,satisfaccion
T908349,C1432,2025-02-19 15:00:00,2025-02-20 08:05:53,Instalación,Portal web,Media,5.0
T925912,C2640,2026-03-25 15:00:00,2026-03-26 18:53:53,Conexión lenta / intermitencia,Telefónico,Baja,5.0
T916892,C1446,2025-09-12 15:00:00,2025-09-14 06:49:58,Corte programado,Email,Baja,
T924315,C2372,2026-02-04 14:00:00,2026-02-05 22:40:14,Conexión lenta / intermitencia,WhatsApp,Media,4.0
T902768,C2806,2024-10-18 08:00:00,2024-10-18 14:42:16,WiFi / equipos,Telefónico,Media,4.0
T914787,C1935,2025-07-14 20:00:00,2025-07-15 00:16:53,Sin conexión,Sucursal,Alta,
T916791,C1094,2025-09-13 13:00:00,2025-09-14 14:24:54,Instalación,Telefónico,Baja,3.0
T928833,C5512,2026-05-15 08:00:00,2026-05-17 16:11:56,Sin conexión,Telefónico,Media,
T907894,C4658,2025-01-17 09:00:00,2025-01-17 14:10:45,Sin conexión,Sucursal,Alta,
T922467,C2237,2026-01-08 10:00:00,2026-01-09 00:08:52,Sin conexión,WhatsApp,Media,5.0
T925607,C1236,2026-03-19 15:00:00,2026-03-20 21:22:05,Conexión lenta / intermitencia,Sucursal,Media,4.0
T900097,C1343,2024-08-30 10:00:00,2024-08-30 21:31:06,Sin conexión,Portal web,Media,5.0
T927341,C3876,2026-04-08 16:00:00,2026-04-09 18:53:50,Sin conexión,Email,Media,4.0
T921108,C3396,2025-12-03 18:00:00,2025-12-05 20:05:10,Conexión lenta / intermitencia,WhatsApp,Media,3.0
T925690,C1592,2026-03-14 17:00:00,2026-03-15 11:14:50,Corte programado,WhatsApp,Media,4.0
T906536,C1271,2025-01-15 16:00:00,2025-01-17 12:43:29,Consulta comercial,Telefónico,Baja,
T907428,C3414,2025-01-25 14:00:00,2025-01-27 04:35:02,Conexión lenta / intermitencia,Sucursal,Baja,3.0
T925096,C4645,2026-02-24 12:00:00,2026-02-25 12:18:39,Conexión lenta / intermitencia,Portal web,Media,4.0
T918717,C4063,2025-10-29 11:00:00,2025-10-30 11:37:22,Cambio de plan,Sucursal,Media,4.0
T908635,C2197,2025-02-05 11:00:00,2025-02-07 13:16:07,Sin conexión,Telefónico,Media,
T904970,C1903,2024-12-24 10:00:00,2024-12-27 13:06:56,WiFi / equipos,Telefónico,Media,3.0
T925938,C2755,2026-03-11 12:00:00,2026-03-12 02:48:44,Instalación,Telefónico,Media,3.0
T911847,C3624,2025-04-04 10:00:00,2025-04-05 09:35:14,Facturación,Telefónico,Media,4.0
T923797,C5954,2026-01-07 13:00:00,2026-01-07 18:46:39,Instalación,Telefónico,Media,3.0
T930114,C1011,2026-07-10 17:00:00,,Corte programado,Telefónico,Media,
T901556,C2536,2024-09-09 13:00:00,2024-09-11 12:30:15,Conexión lenta / intermitencia,Telefónico,Baja,
T930979,C5094,2026-07-14 11:00:00,2026-07-14 23:03:31,Consulta comercial,Telefónico,Media,
T915028,C2880,2025-07-10 13:00:00,2025-07-12 08:20:06,Sin conexión,WhatsApp,Baja,4.0
T922422,C2113,2026-01-17 18:00:00,2026-01-21 20:25:06,Conexión lenta / intermitencia,Telefónico,Baja,3.0
T915694,C1062,2025-08-23 11:00:00,2025-08-23 18:46:24,Facturación,Portal web,Alta,
T919883,C4208,2025-11-05 19:00:00,2025-11-06 09:25:39,Cambio de plan,Telefónico,Baja,
T921249,C3796,2025-12-20 14:00:00,2025-12-22 19:23:55,Sin conexión,WhatsApp,Baja,
T922914,C3399,2026-01-06 15:00:00,2026-01-10 00:20:48,Facturación,Telefónico,Baja,1.0
T905454,C3029,2024-12-24 15:00:00,2024-12-27 02:29:28,Corte programado,WhatsApp,Media,
T916204,C3274,2025-08-05 08:00:00,2025-08-05 13:54:28,WiFi / equipos,Portal web,Alta,5.0
T903231,C4588,2024-10-28 17:00:00,2024-10-29 10:09:16,Consulta comercial,Telefónico,Baja,
T929200,C1941,2026-06-08 11:00:00,2026-06-10 05:46:25,Conexión lenta / intermitencia,Telefónico,Media,
T926641,C5868,2026-03-13 12:00:00,2026-03-14 04:54:45,Consulta comercial,Telefónico,Media,5.0
T920506,C1601,2025-12-04 12:00:00,2025-12-11 19:25:52,Facturación,Sucursal,Baja,1.0
